codigo,nombre,periodo_lectivo,carga_horaria
29323,Deontología Profesional,Cuatrimestral,3
29324,Inglés I,Anual,3
29325,Informática II,Anual,4
29326,Fundamentos de Tránsito y Régimen Vigente,Cuatrimestral,3
29438,Proyecto Final,Anual,4
29428,Práctica Pericial III,Anual,5
29429,Estadística,Cuatrimestral,3
29430,Prevención y Educación Vial,Cuatrimestral,3
29431,Psicología General,Cuatrimestral,2
29432,Sociología,Cuatrimestral,2
25101,Metodologia de Estudio,Cuatrimestral,2
29433,Psicología Social,Cuatrimestral,2
29434,Inglés II,Anual,3
29435,Medicina Legal Aplicada,Cuatrimestral,2
29436,Metodología de la Investigación,Cuatrimestral,5
29437,Coordinación Siniestral,Cuatrimestral,4
25102,Derecho Constitucional,Cuatrimestral,3
25103,Introducción a la Química,Cuatrimestral,3
25104,Derecho Civil y Penal en el Peritaje,Cuatrimestral,4
25105,Fotografía Pericial,Cuatrimestral,3
25106,Matemática I,Anual,3
25107,Física I,Anual,3
25108,Inglés Técnico I,Anual,3
25109,Derechos Humanos,Cuatrimestral,2
25111,Introducción a la Criminalistica,Cuatrimestral,3
25112,Planimetría,Anual,4
25220,Química Balística,Cuatrimestral,3
25213,Derecho Procesal Civil y Penal,Cuatrimestral,4
25214,Video Filmación,Anual,3
25215,Informática I,Anual,2
25216,Inglés Técnico II,Anual,3
25217,Matemática II,Anual,3
25218,Física II,Anual,3
25219,Balística I,Anual,5
25323,Deontología Profesional,Cuatrimestral,2
25325,Balística II,Anual,4
25330,Portugués,Anual,3
25331,Practica Pericial Balística,Anual,4
26101,Metodología de Estudio,Cuatrimestral,2
26102,Derecho Constitucional,Cuatrimestral,3
26103,Introducción a la Química,Cuatrimestral,3
26104,Derecho Civil y Penal en el Peritaje,Cuatrimestral,4
26105,Fotografía Pericial,Cuatrimestral,3
26106,Matemática I,Anual,3
26107,Física I,Anual,3
26108,Inglés Técnico I,Anual,3
26109,Derechos Humanos,Cuatrimestral,2
26111,Introducción a la Criminalistica,Cuatrimestral,3
26213,Derecho Procesal Civil y Penal,Cuatrimestral,4
26214,Video Filmación,Anual,3
26215,Informática I,Anual,2
26216,Inglés Técnico II,Anual,3
26220,Papiloscopía I,Anual,5
26323,Deontología Profesional,Cuatrimestral,2
26326,Papiloscopía II,Anual,5
26330,Portugués,Anual,3
26332,Práctica Pericial Papiloscopica,Anual,4
27101,Metodología de Estudio,Cuatrimestral,2
27102,Derecho Constitucional,Cuatrimestral,3
27103,Introducción a la Química,Cuatrimestral,3
27104,Derecho Civil y Penal en el Peritaje,Cuatrimestral,4
27105,Fotografía Pericial,Cuatrimestral,3
27106,Matemática I,Anual,3
27107,Física I,Anual,3
27108,Inglés Técnico I,Anual,3
27109,Derechos Humanos,Cuatrimestral,2
27110,Química I,Cuatrimestral,4
27111,Introducción a la Criminalistica,Cuatrimestral,3
27112,Planimetría,Anual,4
27213,Derecho Procesal Civil y Penal,Cuatrimestral,4
27214,Video Filmación,Anual,3
27215,Informática I,Anual,2
27216,Inglés Técnico II,Anual,3
27217,Matemática II,Anual,3
27218,Física II,Anual,3
27219,Balística I,Anual,5
27220,Papiloscopía I,Anual,5
27221,Química II,Anual,3
27322,Artes Gráficas,Cuatrimestral,3
27323,Deontología Profesional,Cuatrimestral,2
27324,Accidentología Vial,Anual,3
27325,Balística II,Anual,4
27326,Papiloscopía II,Anual,4
27327,Documentología I,Anual,4
27328,Química III,Anual,3
27329,Informática II,Anual,3
27330,Portugués,Anual,3
27443,Proyecto Final,Anual,4
27432,Estadística,Cuatrimestral,3
27433,Psicología General,Cuatrimestral,2
27434,Sociología,Cuatrimestral,2
27435,Metodología de la Investigación,Cuatrimestral,5
27436,Psicología Social,Cuatrimestral,2
27437,Criminología,Cuatrimestral,2
